排名,英文片名,中文片名,累计票房,首映日期,IMDb评分,豆瓣评分
1,A Minecraft Movie,我的世界,"$423,653,012",4月4日,5.7,5.5
2,Sinners,罪人,"$273,381,913",4月18日,7.8,7.8
3,The King of Kings,N/A,"$60,233,344",4月11日,6.9,N/A
4,The Amateur,业余爱好者,"$40,756,371",4月11日,6.6,6.5
5,Star Wars: Episode III - Revenge of the Sith,星球大战：最后的绝地武士,"$34,107,714",4月25日,8.8,7.2
6,The Accountant 2,会计刺客,"$65,502,960",4月25日,6.8,7.3
7,Warfare,战争,"$26,000,309",4月11日,7.3,6.8
8,A Working Man,打工人,"$37,000,711",3月28日,5.7,6.2
9,Snow White,白雪公主,"$87,203,963",3月21日,1.8,6.0
10,Drop,N/A,"$16,600,805",4月11日,6.1,N/A
