排名,英文片名,中文片名,累计票房,首映日期,IMDb评分,豆瓣评分
1,Captain America: Brave New World,N/A,"$200,500,001",2月14日,5.7,N/A
2,Dog Man,N/A,"$97,970,355",1月31日,6.3,N/A
3,Heart Eyes,N/A,"$30,415,738",2月7日,6.1,N/A
4,Paddington in Peru,N/A,"$45,770,312",2月14日,6.7,N/A
5,Mufasa: The Lion King,狮子王,"$254,567,693",12月20日,6.6,9.1
6,The Monkey,N/A,"$39,724,909",2月21日,6.0,N/A
7,One of Them Days,N/A,"$50,054,690",1月17日,6.5,N/A
8,Ne Zha 2,N/A,"$20,858,156",2月14日,8.1,N/A
9,Companion,N/A,"$20,809,101",1月31日,6.9,N/A
10,Love Hurts,N/A,"$15,683,090",2月7日,5.3,N/A
